1975 3 00 8.46
1975 4 00 7.18
1975 5 00 6.17
1975 6 00 5.96
1975 7 00 5.05
1975 8 00 6.13
1975 9 00 5.36
1975 10 00 10.05
1975 11 00 12.87
1975 12 00 11.96
1976 1 00 12.97
1976 2 00 11.53
1976 3 00 9.79
1976 4 00 6.64
1976 5 00 8.13
1976 6 00 4.81
1976 7 00 5.67
1976 8 00 4.76
1976 9 00 6.51
1976 10 00 8.37
1976 11 00 8.75
1976 12 00 11.17
1977 1 00 7.64
1977 2 00 10.63
1977 3 00 8.87
1977 4 00 7.77
1977 5 00 5.57
1977 6 00 6.28
1977 7 00 3.88
1977 8 00 4.80
1977 9 00 5.79
1977 10 00 10.93
1977 11 00 11.37
1977 12 00 9.80
1978 1 00 10.15
1978 2 00 11.63
1978 3 00 9.32
1978 4 00 6.58
1978 5 00 5.88
1978 6 00 6.39
1978 7 00 5.00
1978 8 00 4.52
1978 9 00 7.01
1978 10 00 8.67
1978 11 00 9.67
1978 12 00 10.38
1979 1 00 8.06
1979 2 00 15.35
1979 3 00 7.83
1979 4 00 5.34
1979 5 00 6.87
1979 6 00 5.26
1979 7 00 5.03
1979 8 00 3.99
1979 9 00 6.98
1979 10 00 6.29
1979 11 00 10.02
1979 12 00 11.72
1980 1 00 11.89
1980 2 00 10.69
1980 3 00 7.94
1980 4 00 9.43
1980 5 00 5.54
1980 6 00 4.26
1980 7 00 5.34
1980 8 00 5.93
1980 9 00 6.70
1980 10 00 9.02
1980 11 00 12.30
1980 12 00 14.77
1981 1 00 10.51
1981 2 00 9.07
1981 3 00 8.49
1981 4 00 8.63
1981 5 00 5.11
1981 6 00 6.92
1981 7 00 6.09
1981 8 00 6.15
1981 9 00 6.48
1981 10 00 8.27
1981 11 00 11.25
1981 12 00 9.83
1982 1 00 12.02
1982 2 00 11.52
1982 3 00 8.60
1982 4 00 8.76
1982 5 00 6.53
1982 6 00 4.64
1982 7 00 4.56
1982 8 00 5.23
1982 9 00 5.85
1982 10 00 8.46
1982 11 00 8.99
1982 12 00 10.06
1983 1 00 12.53
1983 2 00 12.79
1983 3 00 10.70
1983 4 00 5.38
1983 5 00 5.50
1983 6 00 4.64
1983 7 00 4.67
1983 8 00 5.87
1983 9 00 6.26
1983 10 00 8.63
1983 11 00 9.82
1983 12 00 8.33
1984 1 00 10.09
1984 2 00 11.52
1984 3 00 9.67
1984 4 00 9.56
1984 5 00 6.32
1984 6 00 6.33
1984 7 00 6.26
1984 8 00 5.84
1984 9 00 5.97
1984 10 00 9.33
1984 11 00 10.16
1984 12 00 9.77
1985 1 00 9.92
1985 2 00 12.54
1985 3 00 9.30
1985 4 00 8.54
1985 5 00 5.89
1985 6 00 5.39
1985 7 00 5.39
1985 8 00 5.97
1985 9 00 6.02
1985 10 00 9.65
1985 11 00 8.85
1985 12 00 7.87
1986 1 00 12.50
1986 2 00 9.18
1986 3 00 11.17
1986 4 00 8.59
1986 5 00 5.95
1986 6 00 7.19
1986 7 00 5.49
1986 8 00 6.27
1986 9 00 5.60
1986 10 00 7.93
1986 11 00 11.50
